Participant_ID,Mean_Accuracy,Mean_ResponseTime,Gender,Delta_TP9_mean,Delta_AF7_mean,Delta_AF8_mean,Delta_TP10_mean,Theta_TP9_mean,Theta_AF7_mean,Theta_AF8_mean,Theta_TP10_mean,Alpha_TP9_mean,Alpha_AF7_mean,Alpha_AF8_mean,Alpha_TP10_mean,Beta_TP9_mean,Beta_AF7_mean,Beta_AF8_mean,Beta_TP10_mean,Gamma_TP9_mean,Gamma_AF7_mean,Gamma_AF8_mean,Gamma_TP10_mean,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
1,0.8,10.670374,Male,0.902835663,0.655312953,0.890637821,1.073309957,0.758854237,0.273826409,0.492062986,0.844171966,1.028695194,0.313080274,0.526248829,1.118364833,0.565673702,-0.303737709,-0.114388126,1.338869974,-0.158600529,-0.898878117,-0.576330318,1.174968619,1411.650405,54.93896673,18.26287558,811.0432441,504.2364705,848.8307262,535.0440615,0.149076991,0.248870787,405248.445,530.4380461,539.3841409,0.462192202,0.358579803,0.348432568,0.389330603,0.349708142,0.260762111,4104.4875,4098.4875,0.127903158,0.191972439,0.024102135,0.12971045,0.024053168,0.127466647,0.066522368,0.328932588,0.0,0.012289041,0.004272207,99.61271754,97.43079628,0.004268164,0.171348922,0.015651042,0.001459318,9.15e-05,6.636036959,0.166027471,0.119053657,3.170375115,0.000226784,0.029850262,2.65e-05,3.81e-05,0.000148602,0.022805717,0.130173744,0.001517784,0.000248827,0.004815346,0.001762276,0.00617952,8.233709789,5.919577643,-3.733026087,2.361373021,164.7458021
6,0.65,33.08019689,Male,0.629102423,-0.167449049,0.194243547,0.588640239,0.393106589,-0.435085914,-0.15142316,0.333333834,0.637303231,-0.232061529,-0.08456164,0.590806669,0.197796402,-0.432877583,-0.311126204,0.19207737,-0.319371461,-0.693954904,-0.592097735,-0.177270004,35025.80767,438.2357833,2.308143111,182.7158709,99.34311981,535.5128246,337.5496189,-0.660619951,0.490465764,656864.1562,117.923491,448.5070392,-0.745439308,-0.758398215,-0.122754591,-0.09311162,3.347886889,1.53481295,6651.525,6645.525,0.238044156,0.255985946,0.079571979,0.189262015,0.024148532,0.171102037,1.803089899,5.357290057,-1.728929461,0.106151135,0.073027539,96.19109261,93.211378,0.070869279,0.781891398,0.084492237,6.218979454,0.929078592,15.61551147,0.19125499,0.276782801,71.49579224,0.12137108,6.444353772,0.00685693,0.524942458,3.792087232,0.017603322,8.446082334,0.007131194,0.00050175,0.539376487,0.012046589,0.005842147,5.061984903,20.17653939,-7.115520224,3.843691238,126.9019236
8,0.714285714,6.956587869,Male,1.010863051,0.413662176,0.568160127,0.930611295,0.695723266,0.059028562,0.177941206,0.652971085,0.844427597,0.127485943,0.273313402,0.809593065,0.579284031,-0.303251452,-0.252247762,0.432118525,0.298408845,-0.654460658,-0.696194389,0.126400576,1600.919558,29.88358819,33.47437019,819.0921859,470.8486054,817.5194788,517.1153728,0.72526747,0.795639046,390838.3957,629.2357381,647.5749251,0.475247437,0.442030332,0.364051782,0.483442658,0.212010935,0.097074759,3958.857143,3952.857143,0.158137093,0.188399578,0.025890221,0.170118208,0.024094844,0.238219064,0.075031352,0.4750192,-0.108343512,0.036768453,0.001322414,99.43027415,98.5439742,0.000931315,1.0909219,0.042811584,0.228081607,0.008843151,0.232405485,5.117969971,0.01689879,0.100142174,0.214501081,0.222179167,1.53e-07,0.005464287,0.004127136,1.82e-05,0.605097103,0.001082771,0.001964666,0.044257946,0.000943713,0.002021711,3.005108392,16.43868234,0.595429457,0.588259427,143.0010468
10,0.394736842,15.02106608,Male,0.818906722,0.642379748,0.728706645,0.818906722,0.624646492,0.32406418,0.386167636,0.818906722,0.833639729,0.419318112,0.45038223,0.818906722,0.502322858,0.235483847,0.205536351,0.818906722,0.099221428,-0.03248412,-0.084886993,-0.084886993,50832.6465,1270.587639,0.824039904,769.1628571,492.7058361,803.5096538,501.7728255,0.066796641,0.578003456,588641.2535,563.4725378,582.3182293,0.423411689,0.322315181,0.333332726,0.37227781,0.451926133,0.322927397,5961.565789,5954.565789,1.604781384,0.183969139,0.024220203,2.300965555,0.024054251,0.146169133,1.186596716,0.328773526,0.0,0.03325145,0.079383879,95.39602156,98.34417113,0.000294088,1.930612876,0.016897296,0.094352676,0.000666138,0.016502766,61.67227401,0.032253804,0.009312956,3.026817827,0.017426488,0.037526265,2.74e-05,3.85e-05,3.59e-05,0.016404424,0.080600873,2.01e-05,0.012970166,0.01282411,0.000242354,0.61508525,7.807486543,-0.757500474,2.440806524,148.3107815
11,0.681818182,15.57808129,Male,0.844950748,0.367907701,0.422252709,0.861467538,0.764212757,0.159546213,0.174443022,0.740957158,0.932857742,0.238425479,0.269513422,0.884620118,0.524788952,0.040630477,0.18830125,0.559325427,0.037877939,-0.148984305,0.002438837,0.205356364,18504.05432,137.9249285,7.339047726,798.1262944,533.965561,841.6840185,543.1280385,0.2409512,0.224907773,758952.8365,449.7866642,463.9403463,0.331374317,0.285175053,0.231564159,0.347626468,0.593371802,0.414823334,7685.284091,7678.284091,0.497034834,0.022563945,0.076246827,28.13658157,0.024057611,0.032993036,48.57878792,60.44371422,-0.002069605,0.007375107,0.008797187,36.3313503,96.96601877,0.004062131,88.33960205,0.014540658,0.104254399,0.004602146,0.247832424,47.38587995,2.194071591,39.21840653,0.000154081,0.056040705,0.006304736,0.000116324,0.150241014,0.000295006,17.59187294,0.003094289,0.002461394,0.151402972,0.002654968,0.001337285,3.26690511,0.807280789,-4.565292741,2.707356255,174.4639456
13,0.785714286,17.02187549,Male,0.859773007,0.5440352,0.552867305,0.923135621,0.640764875,0.31816208,0.303877335,0.693764965,0.802406836,0.362513619,0.349529513,0.81194792,0.420894735,-0.021662011,0.053942757,0.292943876,-0.014084741,-0.242027213,-0.085297433,-0.076082614,19576.88003,78.54103978,12.81607145,758.9682824,519.0001481,749.48255,542.6857511,0.478702998,0.403210692,762136.5601,599.5470369,607.2560917,0.452159807,0.383571941,0.344591235,0.402016371,0.295881465,0.218763324,7717.595238,7711.595238,0.20065934,0.233350481,0.023615362,0.303994576,0.024252699,0.154493794,0.206266885,0.476368583,-0.036361265,0.138448197,0.844799995,99.24678471,95.88493317,0.463206367,1.839500376,0.157260286,0.178985586,0.11602849,1.168385251,9.631967348,4.121776951,6.180918377,0.123229948,0.294253291,0.723840608,0.146907674,0.183068013,0.041920895,0.947444363,0.062433036,0.001629931,0.147834852,0.015774935,0.012669206,12.42452028,3.58165933,-5.995438982,3.292408174,140.984569
14,0.878787879,18.95198068,Male,0.549592455,0.421906012,0.637797969,0.596412458,0.563289014,0.099017993,0.339717729,0.546046665,0.767943632,0.147422825,0.333062457,0.699979924,0.336295708,-0.453310539,-0.192073067,0.101605056,-0.045749549,-0.797304049,-0.492501121,-0.213583519,18784.32765,114.5791157,8.769907989,360.3523274,153.108413,125.9934291,46.21758205,-0.99261822,-0.981255343,548493.1048,221.5027722,87.67254087,-0.481742459,-0.494598913,-0.810434362,-0.796282727,2.645729766,3.453646005,5548.393939,5542.393939,0.145729819,0.192105018,0.02902922,0.164587296,0.024058394,0.130097221,0.086080397,0.341626632,0.0,0.014546155,0.39440708,99.58289107,97.56527349,0.102596551,0.265637011,0.01971464,0.002583853,5.9e-06,8.106645783,0.225299511,0.503064193,4.007293426,0.018865152,0.000162941,1.152867255,2.54e-06,2.34e-05,0.050948016,4.982471714,0.067401344,7.82e-05,0.007019312,0.271002646,0.006606446,7.214892208,16.42551937,-3.368091222,0.462756878,131.3140904
16,0.733333333,9.316312038,Male,0.835260775,0.848602115,1.231497844,1.185945089,0.76312746,0.56724583,0.835372038,1.081375746,1.098374445,0.691571306,0.852323252,1.064945756,0.361027268,0.094746837,0.172555632,1.108283371,-0.20859542,-0.283144212,-0.217346974,0.897335299,18661.1249,123.2397699,8.140929387,894.0853542,604.6781975,951.9573158,564.8673057,0.748572104,0.78762717,502769.8188,643.4711638,646.1226621,0.559640082,0.441363399,0.434111052,0.44321623,0.152968329,0.138978699,5092.088889,5086.088889,0.138834958,0.194526818,0.023443565,0.18234543,0.024055829,0.15580361,0.086949364,0.334024563,-0.000981038,0.696676949,0.821279828,99.53338326,98.13369752,1.051986175,0.944979187,0.017655227,0.028654776,0.003170561,1.028449115,1.173395441,1.799939435,0.013789138,1.43680476,0.0014884,0.002272873,0.001249567,9.47e-06,0.021177394,0.023374763,0.045879721,0.000222156,0.041497214,0.017801024,0.002445343,4.412649809,10.0623186,-1.972071067,1.631305519,133.2779776
17,0.725,14.50117946,Male,1.044618989,1.185144891,0.736659467,1.10319302,0.721044816,0.760780201,0.310461989,0.715291333,0.841689634,0.75384363,0.306161475,0.805007939,0.466470607,-0.033575157,-0.397211189,0.401364989,0.100206984,-0.676660205,-0.877337716,0.083307807,1303.877803,44.19937924,22.64785241,808.5158234,561.7832123,836.6129929,532.9415097,0.570790268,0.454236231,603373.8244,637.4992794,636.7649123,0.472792723,0.457556229,0.328847595,0.434890445,0.230894818,0.250086314,6110.0875,6105.0875,0.146740056,0.195721519,0.029416472,0.140039677,0.024151,0.145679948,0.283463392,0.650558099,-0.113512607,0.658455049,0.255975987,99.32467122,98.0316215,0.004916228,0.265880769,0.076645423,4.289494439,0.072515049,1.119584011,0.243542106,0.90287827,27.19774533,0.116353924,5.312466354,1.098312907,0.02246196,0.194507103,0.003979303,0.315081984,0.010564543,0.004509328,0.175882614,0.003443246,0.004422825,4.571660717,17.88271582,-2.17473272,9.366171362,132.4135619
19,0.727272727,21.34011103,Male,0.801914031,0.785578929,0.8025679,0.81405358,0.748226647,0.495819967,0.455366042,0.778740786,0.775913311,0.420881778,0.382788466,0.790041411,0.200254944,-0.248535782,-0.315635752,0.192104543,-0.397019453,-0.837499454,-0.920096559,-0.369033377,18406.42412,147.1789147,6.840622918,829.7945882,447.5653256,887.5240519,514.0537542,0.312489819,0.437429769,691800.6431,606.2045369,636.3469487,0.492463174,0.379755198,0.442258925,0.443161902,0.316972769,0.114102438,7005.893939,7000.893939,0.536371456,0.654214113,0.094986544,0.624840078,0.024172424,0.137611666,0.31546853,1.585630917,-0.368477297,0.100444106,0.07057453,98.05804304,96.22230702,0.001163709,0.750687107,0.061259147,1.314066231,0.594208666,0.921620982,19.22280354,0.191570582,1.460241911,0.165208071,2.051013408,0.076402494,0.283189408,1.588769759,0.002737678,0.49979896,0.118305441,0.005640518,0.824961006,0.084608426,0.003998787,5.492427776,3.152025248,-5.561900969,5.02551376,133.0568691
