Delta_TP9_mean,Delta_AF7_mean,Delta_AF8_mean,Delta_TP10_mean,Theta_TP9_mean,Theta_AF7_mean,Theta_AF8_mean,Theta_TP10_mean,Alpha_TP9_mean,Alpha_AF7_mean,Alpha_AF8_mean,Alpha_TP10_mean,Beta_TP9_mean,Beta_AF7_mean,Beta_AF8_mean,Beta_TP10_mean,Gamma_TP9_mean,Gamma_AF7_mean,Gamma_AF8_mean,Gamma_TP10_mean,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
0.002649001,0.007150178,-0.002187452,-0.0027650625,-0.0029500085,0.0004725179,-0.0058478503,-0.031070452,0.0002460356,0.0045212437,0.0003508465,0.0005828419,-0.004279516,0.000110685985,0.00074140617,-0.00036322998,0.00035975306,0.00010772385,-0.0001801325,6.41202e-05,0.0028098845,0.0098007,0.0033143999,-0.0010011612,-0.012108559,0.0,-1.075817e-05,-2.308637e-05,0.0,0.00029561121,8.585957e-05,7.114844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084757083,0.0001424053,-7.56972e-05,0.0068517067,-2.0850584e-05,0.0009249572,0.0023474905,-0.00023043592,4.815964e-05,-0.00027826382,-0.00030595443,0.0010553941,0.0,1.3735662e-06,0.0,-0.00045242082,0.00013117923,0.0031357966,0.0059157526,0.0069402233,0.0,0.0,-0.0002593687,-6.326945e-05,-0.00028263376,0.0,3.1411226e-05,0.00016736648,-0.00019102446,-0.00017452188,1.6444632e-05,0.00088392146,-0.00016614537,0.00036556923,0.0,-0.00067812856,0.0,0.0009773984,-0.000542127
0.031981155,-0.0104726525,0.0021915452,0.0136919785,0.0027500144,-0.0032942318,0.00083631533,0.0048029446,-0.0011608441,-0.0154688,-0.00045981826,-0.00031246725,0.004653582,0.000110685985,0.0007920639,0.00040435971,0.00023616153,3.8300514e-05,-0.00037950755,-0.00025613612,0.00286533,0.01022763,0.0033808122,0.0010136236,0.0037871057,0.0,3.9398487e-06,-2.0184827e-05,0.0,-8.201314e-05,-0.00017659918,-5.794311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009173832,-0.0007035248,0.00019459937,-0.0038264648,1.3103062e-05,0.0012677889,-0.0012219672,-2.6913887e-05,-0.00017670623,8.477706e-05,-0.00011355412,-0.00014749863,0.0,0.00011029196,0.0,0.00014822235,-6.770232e-05,-0.00036733662,0.0046594823,0.007553494,0.0,0.0,-0.00018373257,-7.374906e-05,-0.00022782345,0.0,-0.00011835054,-5.7790727e-05,0.0013997612,-5.3542095e-05,3.1918433e-05,-0.00028407472,-0.00014980079,0.0006551241,0.0,0.0015319554,0.0,-0.00041785036,0.00032688124
-0.0037171918,-0.008786786,0.0018179071,-0.0058600563,-0.0036911923,-0.0017405002,0.00055753737,0.0036280314,0.00071035407,-0.014029301,0.0003176526,0.00039701432,-0.0046143527,-9.621377e-06,0.00064177875,0.00033774303,-0.00018814435,1.7650003e-05,-0.000246811,-8.449054e-06,0.0027118342,0.008910107,0.0029548998,-0.00048116138,0.0020788237,0.0,-2.7005757e-05,-3.3449396e-08,0.0,0.0001604307,9.9561345e-05,1.0379705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007903545,0.00023002166,-7.719068e-05,-0.005479103,1.3103062e-05,-0.0016420343,0.0010553347,5.6522713e-06,4.383443e-05,0.00012889992,-0.00015173329,-0.0002752823,0.0,1.1060678e-05,0.0,6.986164e-05,-6.770232e-05,-0.0009636216,-0.010534142,0.005864879,0.0,0.0,-0.00026144972,-6.629727e-05,-0.0002313933,0.0,3.1411226e-05,-5.7790727e-05,-0.00030224049,-0.00011650995,1.6444632e-05,8.516231e-05,-0.00015404091,0.00029555877,0.0,0.0013362386,0.0,0.00042463714,0.00016322172
-0.022041675,-0.00089938194,0.0013301132,-0.0017780274,0.0012489925,0.00023773279,-0.006015091,-0.037960283,0.00045444872,0.0024177867,5.0903618e-05,2.8489707e-05,-0.0025995988,-9.621377e-06,-0.008579628,-0.0003588244,-9.2024304e-05,-5.506802e-05,9.325233e-05,-0.000277173,-0.028715393,-0.11167482,-0.037386917,-0.00046438212,-0.019046698,0.0,2.6850469e-06,-3.2222824e-06,0.0,-7.0543465e-05,5.8962858e-05,6.5928484e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008172782,0.00012688263,-5.8287886e-05,-0.003776064,-1.3539277e-05,0.0005356233,-0.0007231112,-0.00027322123,3.1591902e-05,-0.00029168103,-0.00013388316,-0.00011322273,0.0,3.6892925e-06,0.0,-0.0007260585,-5.7308283e-05,0.0013459788,-0.009968623,-0.04790335,0.0,0.0,0.00022259736,-4.1050684e-05,-0.00024268038,0.0,3.322985e-05,-5.9330145e-05,-0.00013965473,6.713306e-05,-7.044003e-05,0.00040293977,-0.00011603489,-0.0033051448,0.0,-0.00035918847,0.0,-0.00049451954,7.442682e-05
0.010595852,-0.005075576,0.0018248005,-0.0063612205,-0.0040150927,-0.00014978019,0.0006169518,-0.0050725653,-0.00012145105,0.0022072457,-0.0010988222,-0.00010404465,-0.004467754,-9.621377e-06,0.00054387393,-0.0002271217,-7.3359064e-05,-5.506802e-05,0.00011817652,7.339794e-05,0.0027454451,0.008881561,0.0029427477,-0.0009304761,-0.011671241,0.0,-9.849624e-06,-2.0184827e-05,0.0,-5.983952e-05,-0.00028244674,-4.2658558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00095772283,0.000103552746,9.476599e-05,-0.006684763,-4.9005113e-05,0.0007827551,-0.00067108043,-1.5322374e-05,4.383443e-05,-0.00020903627,-0.00016249635,-0.00013629864,0.0,3.5239354e-05,0.0,-0.00034875824,-6.770232e-05,-0.0010452655,-0.007983413,-0.02982925,0.0,0.0,-0.00013608846,-5.8514055e-05,-0.0002460081,0.0,-0.00011835054,-3.649941e-05,0.0008125087,-7.0498994e-05,1.6444632e-05,-0.00036180601,-0.00013299301,-0.0014425821,0.0,-0.0010689908,0.0,-0.00053585996,-0.00039228532
-0.0010402175,0.008724611,0.0038683314,-0.004105178,0.0028668568,0.00033622308,0.0009014512,0.0042082947,0.0012911678,0.0053565656,0.00056135474,0.0003516652,0.0069759306,-9.621377e-06,0.0012887538,0.00072520634,0.00022298547,0.00010772385,0.00025472784,-0.00038953996,0.0029546497,0.009680657,0.0031468463,-0.0010011612,-0.012711061,0.0,-2.7005757e-05,-3.3449396e-08,0.0,-7.346044e-05,0.00012348322,1.0379705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000888491,-0.0006840784,-8.8230285e-05,-0.005393138,1.3103062e-05,0.0010525092,-0.0016450859,7.137573e-05,9.1406735e-05,0.0001191392,0.0003991918,-0.00028238134,0.0,-0.000112279115,0.0,8.225833e-05,-6.770232e-05,-0.0009636216,-0.00032733852,0.006751082,0.0,0.0,-0.0002593687,-7.182583e-05,0.00022888463,0.0,-0.00012404111,0.00016736648,-0.00022564146,9.5769836e-05,1.6444632e-05,-0.0003644482,-8.709211e-05,0.00033278455,0.0,-0.0010689908,0.0,-0.000989251,0.00022861137
0.029162046,0.008710524,0.002635925,0.010265726,0.0027645512,0.00078418694,0.0013227783,0.0060822866,0.0005561209,0.0059923017,0.00032080564,0.0011239313,0.007290606,0.000110685985,0.0008527879,0.0008317177,0.00024847494,0.00010772385,-0.00028674185,-0.00022731232,0.003274275,0.010927196,0.003679328,0.0013691662,0.004402129,0.0,2.3913703e-06,-2.3711851e-05,0.0,0.00029561121,-0.0001067713,-1.6709291e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011384627,0.00038664252,0.00012961408,0.0026990946,-2.0850584e-05,0.0010653974,0.0024630432,0.00016710791,7.9132325e-05,-0.00024970862,0.0004165272,0.0011103492,0.0,5.458649e-05,0.0,0.00015157778,0.00013117923,0.0011020099,0.0052762316,0.009696228,0.0,0.0,-0.0002593687,0.00031778912,0.00080815057,0.0,6.891173e-05,0.00016736648,0.0013126323,0.00015410397,3.1918433e-05,0.0009502447,0.0001221687,0.00070460234,0.0,0.0011677584,0.0,0.0011044111,0.00054711854
0.0040691653,0.009647681,-0.003243933,-0.0035557302,-0.0024066921,0.002235963,-0.007380333,-0.031953458,0.00029632542,0.004813405,0.00039150595,2.0841886e-05,0.0043975315,-9.621377e-06,0.001338304,-0.00036322998,0.00037047503,0.00010772385,0.00014922532,0.00012464778,0.0029957693,0.009524388,0.0031016455,-0.0007034238,-0.0121356025,0.0,-1.075817e-05,8.54087e-06,0.0,0.00029561121,0.00011066094,7.114844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009851861,0.00038664252,-7.56972e-05,-0.004708715,-2.0850584e-05,0.0010539595,-0.00044145354,0.00019551418,7.916421e-05,0.00012386846,0.0004165272,0.0011511792,0.0,-3.455965e-05,0.0,8.225833e-05,0.00013117923,-0.00079747464,-8.6718544e-05,0.0071643856,0.0,0.0,0.00050386385,0.00033484944,-0.0002711884,0.0,6.891173e-05,0.00016736648,-0.00018885452,0.00015410397,1.6444632e-05,0.00090342376,0.00012340232,0.00036556923,0.0,-0.00067812856,0.0,0.0011351403,0.0005110259
-8.855138e-05,0.007002113,0.0041267793,-0.003178414,-0.0035000767,0.0019638746,0.00089741824,0.0025406114,0.0007058869,0.004728095,-0.00024327819,0.00083849824,0.0027899155,-9.621377e-06,0.0005880815,0.00088426686,-0.0002529997,2.9887338e-05,-0.00027233292,-0.0001558583,0.0028533617,0.0098283775,0.003363083,-0.0010011612,-0.012711119,0.0,-2.7005757e-05,-3.3449396e-08,0.0,-7.346044e-05,9.9561345e-05,1.0379705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010022031,0.00034950933,0.000117080985,0.006359562,1.3103062e-05,0.0011830813,-0.0016450859,7.137573e-05,9.1406735e-05,0.00012889992,0.00017100656,-0.00026470944,0.0,1.8297294e-05,0.0,8.317991e-05,-6.770232e-05,-0.0007753572,-0.00016113935,0.0064666313,0.0,0.0,-0.00019291184,-6.0365972e-05,0.00022888463,0.0,-5.6540193e-05,-0.00015892982,-0.00022193682,-0.00012785458,1.6444632e-05,-0.0003626708,-0.00016614537,0.00033563067,0.0,0.0008476606,0.0,-0.001034415,0.0006559229
-0.012811599,0.007628386,-0.003455767,-0.0038498966,-0.0031471625,0.001995943,-0.0074603013,-0.017505521,-0.0007664964,0.0048688166,0.00042783772,0.00045484846,0.0030423666,-9.621377e-06,0.0006893716,0.00031832507,0.00038887438,0.00010772385,-0.00020943719,-0.00038953996,0.0027468961,0.009304556,0.003038946,-0.0007817626,0.0038030501,0.0,1.0802301e-05,-3.3449396e-08,0.0,-0.00016358077,9.9561345e-05,1.9113737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019386624,-0.0006577906,0.00017835754,-0.00527626,1.3103062e-05,0.0007827551,-0.0016450859,7.931856e-06,6.0402166e-05,0.00012889992,-0.00029728672,-0.00012536008,0.0,2.4148281e-05,0.0,0.00012414805,-6.251137e-05,-0.0008498012,3.7861795e-05,0.008646433,0.0,0.0,-0.0002593687,-6.0365972e-05,-0.0005671384,0.0,-0.00012404111,-0.00013389316,-0.000267156,6.0427265e-05,2.4421906e-05,-0.0003461166,0.00012340232,0.0005681508,0.0,-0.00067812856,0.0,-0.0011326994,0.00022861137
